n	t_n	u_n
1	0	0
2	0.01	-7.71527e-09
3	0.02	-7.44343e-08
4	0.03	-3.22716e-07
5	0.04	-9.51351e-07
6	0.05	-2.23529e-06
7	0.06	-4.52556e-06
8	0.07	-8.24915e-06
9	0.08	-1.39089e-05
10	0.09	-2.20832e-05
11	0.1	-3.3426e-05
12	0.11	-4.86666e-05
13	0.12	-6.86091e-05
14	0.13	-9.41326e-05
15	0.14	-0.000126191
16	0.15	-0.000165811
17	0.16	-0.000214096
18	0.17	-0.00027222
19	0.18	-0.000341432
20	0.19	-0.000423054
21	0.2	-0.000518479
22	0.21	-0.000629176
23	0.22	-0.000756681
24	0.23	-0.000902604
25	0.24	-0.00106863
26	0.25	-0.0012565
27	0.26	-0.00146805
28	0.27	-0.00170516
29	0.28	-0.0019698
30	0.29	-0.00226399
31	0.3	-0.00258985
32	0.31	-0.00294952
33	0.32	-0.00334526
34	0.33	-0.00377937
35	0.34	-0.00414855
36	0.35	-0.00455132
37	0.36	-0.0049896
38	0.37	-0.00546538
39	0.38	-0.00598068
40	0.39	-0.00653759
41	0.4	-0.00713823
42	0.41	-0.00778475
43	0.42	-0.00847939
44	0.43	-0.00922438
45	0.44	-0.010022
46	0.45	-0.0108747
47	0.46	-0.0117847
48	0.47	-0.0127545
49	0.48	-0.0137866
50	0.49	-0.0148835
51	0.5	-0.0160476
52	0.51	-0.0172816
53	0.52	-0.0185881
54	0.53	-0.0199698
55	0.54	-0.0214292
56	0.55	-0.0229692
57	0.56	-0.0245924
58	0.57	-0.0263017
59	0.58	-0.0280999
60	0.59	-0.0299897
61	0.6	-0.0319741
62	0.61	-0.0340559
63	0.62	-0.0362382
64	0.63	-0.0385237
65	0.64	-0.0409155
66	0.65	-0.0434167
67	0.66	-0.0460301
68	0.67	-0.0487588
69	0.68	-0.051606
70	0.69	-0.0545747
71	0.7	-0.057668
72	0.71	-0.0608889
73	0.72	-0.0642408
74	0.73	-0.0677266
75	0.74	-0.0713497
76	0.75	-0.0751132
77	0.76	-0.0790203
78	0.77	-0.0830742
79	0.78	-0.0872782
80	0.79	-0.0916356
81	0.8	-0.0961496
82	0.81	-0.100824
83	0.82	-0.105661
84	0.83	-0.110665
85	0.84	-0.115839
86	0.85	-0.121186
87	0.86	-0.12671
88	0.87	-0.132415
89	0.88	-0.138303
90	0.89	-0.144379
91	0.9	-0.150646
92	0.91	-0.157107
93	0.92	-0.163767
94	0.93	-0.170628
95	0.94	-0.177696
96	0.95	-0.184973
97	0.96	-0.192464
98	0.97	-0.200173
99	0.98	-0.208104
100	0.99	-0.216262
